,Unnamed: 0,Provinsi,latitude,longitude,Total
0,0,Aceh,4.695135,96.74939930000001,9018
1,1,Bali,-8.409517800000001,115.18891599999999,20711
2,2,Bangka Belitung,-2.7410513,106.4405872,21570
3,3,Banten,-6.4058172,106.0640179,3327
4,4,Bengkulu,-3.5778470999999996,102.3463875,4191
5,5,Central Java,-7.150975,110.1402594,16354
6,6,Central Kalimantan,-1.6814878,113.38235449999999,220434
7,7,Central Sulawesi,-1.4300254,121.4456179,3858
8,8,East Java,-7.536063900000001,112.2384017,107636
9,9,East Kalimantan,1.6406296000000002,116.419389,99052
10,10,East Nusa Tenggara,-8.6573819,121.07937050000001,97243
11,11,Gorontalo,0.6999371999999999,122.44672379999999,3475
12,12,Jakarta,-6.211544,106.84517199999999,32588
13,13,Jambi,-1.4851831,102.43805809999999,10803
14,14,Lampung,-4.5585849000000005,105.40680790000002,16504
15,15,Maluku,-3.2384616000000004,130.1452734,5414
16,16,North Maluku,1.5709993,127.8087693,7462
17,17,North Kalimantan,1.5802128,114.03085459999998,6411
18,18,North Sulawesi,0.6246932,123.97500179999999,12914
19,19,North Sumatera,2.1153547,99.5450974,25250
20,20,Papua,-4.269928,138.0803529,11021
21,21,Riau,0.2933469,101.70682940000002,19495
22,22,Riau Islands,3.9456513999999996,108.1428669,8697
23,23,South Kalimantan,-3.0926415,115.28375849999999,39703
24,24,South Sulawesi,-3.6687993999999997,119.9740534,5485
25,25,Southeast Sulawesi,-4.144909999999999,122.174605,7911
26,26,South Sumatera,-3.3194373999999995,103.914399,27087
27,27,West Java,-7.090911,107.66888700000001,3075
28,28,West Kalimantan,-0.2787808,111.47528510000001,6001
29,29,West Nusa Tenggara,-8.6529334,117.3616476,6304
30,30,West Papua,-1.3361154,133.1747162,13977
31,31,West Sulawesi,-2.8441370999999998,119.23207839999999,2531
32,32,West Sumatra,-0.7399397,100.8000051,2859
33,33,Yogyakarta,-7.8753849,110.4262088,4057
